RSNES0469	Legend of Zelda, The - Goddess of Wisdom (USA) (Hack) (Alt2)
RSNES0470	Legend of Zelda, The - Goddess of Wisdom (USA) (Hack)
RSNES0471	Legend of Zelda, The - Parallel Worlds (USA) (Hack) (Alt)
RSNES0472	Legend of Zelda, The - Parallel Worlds (USA) (Hack) (Alt2)
RSNES0473	Legend of Zelda, The - Parallel Worlds (USA) (Hack)
RSNES0474	Lemmings (USA) (Rev 1)
RSNES0475	Lemmings (USA)
RSNES0476	Lemmings 2 - The Tribes (USA)
RSNES0477	Lennus 2 - The Apostles of the Seals (USA)
RSNES0478	Lester the Unlikely (USA)
RSNES0479	Lethal Enforcers (USA)
RSNES0480	Lethal Weapon (USA)
RSNES0481	Liberty or Death (USA)
RSNES0482	Lion King, The (USA)
RSNES0483	Live A Live (USA)
RSNES0484	Lock On (USA)
RSNES0485	Looney Tunes B-Ball (USA)
RSNES0486	Lost Vikings 2 (USA)
RSNES0487	Lost Vikings, The (USA)
RSNES0488	Lucky Luke (Europe)
RSNES0489	Lufia & The Fortress of Doom (USA)
RSNES0490	Lufia II - Rise of the Sinistrals (USA)
RSNES0491	Madden NFL '94 (USA)
RSNES0492	Madden NFL '95 (USA)
RSNES0493	Madden NFL 95 (USA)
RSNES0494	Madden NFL 96 (USA)
RSNES0495	Madden NFL 97 (USA)
RSNES0496	Madden NFL 98 (USA)
RSNES0497	Magic Boy (USA)
RSNES0498	Magic Knight RayEarth (USA) (Alt)
RSNES0499	Magic Knight RayEarth (USA) (Alt2)
RSNES0500	Magic Knight RayEarth (USA) (Alt3)
RSNES0501	Magic Knight RayEarth (USA)
RSNES0502	Magic Sword (USA)
RSNES0503	Magical Quest Starring Mickey Mouse, The (USA)
RSNES0504	Magna Braban - The Wandering Hero (USA)
RSNES0505	Manchester United Championship Soccer (Europe)
RSNES0506	Mario & Wario (USA)
RSNES0507	Mario is Missing! (USA)
RSNES0508	Mario Paint (Japan, USA)
RSNES0509	Mario Paint (USA) (Alt)
RSNES0510	Mario Paint (USA)
RSNES0511	Mario's Early Years! - Fun with Letters (USA)
RSNES0512	Mario's Early Years! - Fun with Numbers (USA)
RSNES0513	Mario's Early Years! - Preschool Fun (USA)
RSNES0514	Mario's Time Machine (USA)
RSNES0515	Mark Davis' The Fishing Master (USA)
RSNES0516	Marko's Magic Football (Europe)
RSNES0517	Marvel Super Heroes - War of the Gems (USA)
RSNES0518	Mary Shelley's Frankenstein (USA)
RSNES0519	Mask, The (USA)
RSNES0520	Math Blaster - Episode 1 (USA)
RSNES0521	Maui Mallard in Cold Shadow (Europe)
RSNES0522	Maui Mallard in Cold Shadow (USA)
RSNES0523	Mazinger Z (USA) (Alt)
RSNES0524	Mazinger Z (USA)
RSNES0525	Mecarobot Golf (USA)
RSNES0526	Mechwarrior (USA)
RSNES0527	MechWarrior 3050 (USA)
RSNES0528	Mega lo Mania (Europe)
RSNES0529	Mega Man & Bass (USA) (Alt)
RSNES0530	Mega Man & Bass (USA)
RSNES0531	Mega Man 7 (USA)
RSNES0532	Mega Man Soccer (USA)
RSNES0533	Mega Man X (USA) (Alt)
RSNES0534	Mega Man X (USA) (Rev 1)
RSNES0535	Mega Man X (USA)
RSNES0536	Mega Man X2 (USA)
RSNES0537	Mega Man X3 (USA)
RSNES0538	Metal Combat - Falcon's Revenge (Australia)
RSNES0539	Metal Combat - Falcon's Revenge (USA)
RSNES0540	Metal Marines (Europe)
RSNES0541	Metal Marines (USA)
RSNES0542	Metal Morph (USA)
RSNES0543	Metal Warriors (USA)
RSNES0544	Michael Andretti's IndyCar Challenge (USA)
RSNES0545	Michael Jordan - Chaos in the Windy City (USA)
RSNES0546	Mickey Mania - The Timeless Adventures of Mickey Mouse (USA)
RSNES0547	Mickey's Playtown Adventure - A Day of Discovery! (USA) (Proto)
RSNES0548	Mickey's Ultimate Challenge (USA)
RSNES0549	Micro Machines (USA)
RSNES0550	Micro Machines 2 - Turbo Tournament (Europe)
RSNES0551	Might and Magic II - Gates to Another World (Europe)
RSNES0552	Might and Magic III - Isles of Terra (USA)
RSNES0553	Mighty Max (Europe)
RSNES0554	Mighty Max (USA)
RSNES0555	Mighty Morphin Power Rangers - The Fighting Edition (USA)
RSNES0556	Mighty Morphin Power Rangers - The Movie (USA)
RSNES0557	Mighty Morphin Power Rangers (USA)
RSNES0558	MLBPA Baseball (USA)
RSNES0559	Mobile Suit Gundam W - Endless Duel (USA)
RSNES0560	Mohawk & Headphone Jack (USA)
RSNES0561	Monopoly (USA) (Rev 1)
RSNES0562	Monopoly (USA)
RSNES0563	Mortal Kombat (USA) (Blood Patch Hack)
RSNES0564	Mortal Kombat (USA)
RSNES0565	Mortal Kombat 3 (Europe)
RSNES0566	Mortal Kombat 3 (USA)
RSNES0567	Mortal Kombat II (USA) (Rev 1)
RSNES0568	Mortal Kombat II (USA)
RSNES0569	Mr. Do! (USA)
RSNES0570	Mr. Nutz (USA)
RSNES0571	Ms. Pac-Man (USA)
RSNES0572	Musya (USA)
RSNES0573	Mystic Ark (USA) (Alt)
RSNES0574	Mystic Ark (USA)
RSNES0575	Natsume Championship Wrestling (USA)
RSNES0576	NBA All-Star Challenge (USA)
RSNES0577	NBA Give 'n Go (USA)
RSNES0578	NBA Hang Time (USA)
RSNES0579	NBA Jam - Tournament Edition (USA)
RSNES0580	NBA Jam (Europe)
RSNES0581	NBA Jam (USA) (Rev 1)
RSNES0582	NBA Jam (USA)
RSNES0583	NBA Live 95 (USA)
RSNES0584	NBA Live 96 (USA)
RSNES0585	NBA Live 97 (USA)
RSNES0586	NBA Live 98 (USA)
RSNES0587	NBA Showdown (USA)
RSNES0588	NCAA Basketball (USA) (Rev 1)
RSNES0589	NCAA Basketball (USA)
RSNES0590	NCAA Final Four Basketball (USA)
RSNES0591	NCAA Football (USA)
RSNES0592	Nekketsu Tairiku Burning Heroes (USA)
RSNES0593	Neugier - Heartbeat of the Wind and Sea (USA)
RSNES0594	New Horizons (USA)
RSNES0595	Newman-Haas IndyCar featuring Nigel Mansell (USA)
