RBGO00392	Golf (World)
RBGO00393	Golf Classic (Europe)
RBGO00394	Gradius - The Interstellar Assault (USA)
RBGO00395	Great Greed (USA)
RBGO00396	Gremlins 2 - The New Batch (World)
RBGO00397	Gurander Musashi RV (Japan)
RBGO00398	HAL Wrestling (USA) (Beta)
RBGO00399	HAL Wrestling (USA)
RBGO00400	Hammerin' Harry - Ghost Building Company (Europe)
RBGO00401	Harvest Moon GB (USA) (SGB Enhanced)
RBGO00402	Harvest Moon GB (USA)
RBGO00403	Hatris (Japan, USA)
RBGO00404	Heavyweight Championship Boxing (USA)
RBGO00405	Heiankyo Alien (USA)
RBGO00406	Heisei Tensai Bakabon (Japan)
RBGO00407	Heracles no Eikou - Ugokidashita Kamigami (Japan) (Translated En)
RBGO00408	Hercules (USA, Europe) (SGB Enhanced)
RBGO00409	Hercules (USA, Europe)
RBGO00410	Hero Shuugou!! Pinball Party (Japan)
RBGO00411	Hiden Inyou Kikouhou - Ca Da (Japan)
RBGO00412	High Stakes (USA)
RBGO00413	High Stakes Gambling (USA)
RBGO00414	Hit the Ice (USA, Europe)
RBGO00415	Home Alone (Japan)
RBGO00416	Home Alone (USA, Europe)
RBGO00417	Home Alone 2 - Lost In New York (USA, Europe)
RBGO00418	Hong Kong (Japan)
RBGO00419	Honoo no Toukyuuji - Dodge Danpei (Japan)
RBGO00420	Hook (Japan)
RBGO00421	Hook (USA)
RBGO00422	Hudson Hawk (Japan)
RBGO00423	Hudson Hawk (USA)
RBGO00424	Hugo (Europe) (SGB Enhanced)
RBGO00425	Hugo (Europe)
RBGO00426	Hugo 2 (Germany)
RBGO00427	Humans, The (Europe) (En,Fr,De,Es,It)
RBGO00428	Humans, The (USA)
RBGO00429	Hunchback of Notre Dame, The - 5 Foolishly Fun Topsy Turvy Games (USA, Europe) (SGB Enhanced)
RBGO00430	Hunchback of Notre Dame, The - 5 Foolishly Fun Topsy Turvy Games (USA, Europe)
RBGO00431	Hunchback of Notre Dame, The - Topsy Turvy Games (USA, Europe)
RBGO00432	Hunt for Red October, The (USA, Europe)
RBGO00433	Hyper Black Bass '95 (Japan)
RBGO00434	Hyper Dunk (Europe)
RBGO00435	Hyper Lode Runner (World) (Rev A)
RBGO00436	Hyper Lode Runner (World)
RBGO00437	Ikari no Yousai 2 (Japan) (Translated En)
RBGO00438	In Your Face (USA)
RBGO00439	Incredible Crash Dummies, The (USA, Europe)
RBGO00440	Indiana Jones and the Last Crusade (USA, Europe)
RBGO00441	Indien dans la Ville, Un (France)
RBGO00442	InfoGenius Systems - Berlitz French Language Translator (USA, Europe)
RBGO00443	InfoGenius Systems - Berlitz Spanish Language Translator (USA, Europe)
RBGO00444	InfoGenius Systems - Frommer's Travel Guide (USA)
