RN6400464	PGA European Tour Golf (Europe) (En,Fr,De,Es,It)
RN6400465	Pilotwings 64 (Europe) (En,Fr,De)
RN6400466	Pilotwings 64 (USA)
RN6400467	Pokemon Puzzle League (Europe)
RN6400468	Pokemon Puzzle League (France)
RN6400469	Pokemon Puzzle League (Germany)
RN6400470	Pokemon Puzzle League (USA)
RN6400471	Pokemon Snap (Australia)
RN6400472	Pokemon Snap (Europe)
RN6400473	Pokemon Snap (France)
RN6400474	Pokemon Snap (Germany)
RN6400475	Pokemon Snap (Italy)
RN6400476	Pokemon Snap (Spain)
RN6400477	Pokemon Snap (USA)
RN6400478	Pokemon Snap Station (USA) (Demo) (Kiosk)
RN6400479	Pokemon Stadium (Europe) (Rev 1)
RN6400480	Pokemon Stadium (Europe)
RN6400481	Pokemon Stadium (France)
RN6400482	Pokemon Stadium (Germany)
RN6400483	Pokemon Stadium (Italy)
RN6400484	Pokemon Stadium (Spain)
RN6400485	Pokemon Stadium (USA) (Rev 1)
RN6400486	Pokemon Stadium (USA) (Rev 2)
RN6400487	Pokemon Stadium (USA)
RN6400488	Pokemon Stadium 2 (Europe)
RN6400489	Pokemon Stadium 2 (France)
RN6400490	Pokemon Stadium 2 (Germany)
RN6400491	Pokemon Stadium 2 (Italy)
RN6400492	Pokemon Stadium 2 (Spain)
RN6400493	Pokemon Stadium 2 (USA)
RN6400494	Polaris SnoCross (USA)
RN6400495	Power Rangers - Lightspeed Rescue (Europe)
RN6400496	Power Rangers - Lightspeed Rescue (USA)
RN6400497	Powerpuff Girls, The - Chemical X-Traction (USA)
RN6400498	Premier Manager 64 (Europe)
RN6400499	Quake (Europe)
RN6400500	Quake (USA)
RN6400501	Quake 64 (USA)
RN6400502	Quake II (Europe)
RN6400503	Quake II (USA)
RN6400504	Quest 64 (USA)
RN6400505	Racing Simulation 2 (Germany)
RN6400506	Rakuga Kids (Europe)
RN6400507	Rakugakids (Europe)
RN6400508	Rally Challenge 2000 (USA)
RN6400509	Rampage - World Tour (Europe)
RN6400510	Rampage - World Tour (USA)
RN6400511	Rampage 2 - Universal Tour (Europe)
RN6400512	Rampage 2 - Universal Tour (USA)
RN6400513	Rat Attack (Europe) (En,Fr,De,Es,It,Nl)
RN6400514	Rat Attack! (USA) (En,Fr,De,Es,It,Nl)
RN6400515	Rat Attack! (USA)
RN6400516	Rayman 2 - The Great Escape (Europe) (En,Fr,De,Es,It)
RN6400517	Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It)
RN6400518	Rayman 2 - The Great Escape (USA)
RN6400519	Razmoket, Les - La Chasse aux Tresors (France)
RN6400520	Razor Freestyle Scooter (USA)
RN6400521	Re-Volt (Europe) (En,Fr,De,Es)
RN6400522	Re-Volt (USA)
RN6400523	Ready 2 Rumble Boxing - Round 2 (USA)
RN6400524	Ready 2 Rumble Boxing (Europe) (En,Fr,De)
RN6400525	Ready 2 Rumble Boxing (USA)
RN6400526	Resident Evil 2 (Europe) (En,Fr)
RN6400527	Resident Evil 2 (USA) (Rev 1)
RN6400528	Resident Evil 2 (USA)
RN6400529	Road Rash 64 (Europe)
RN6400530	Road Rash 64 (USA)
RN6400531	Roadsters (Europe) (En,Fr,De,Es,It,Nl)
RN6400532	Roadsters (USA) (En,Fr,Es)
RN6400533	Roadsters Trophy (USA)
RN6400534	Robotech - Crystal Dreams (USA) (Proto)
RN6400535	Robotron 64 (Europe)
RN6400536	Robotron 64 (USA)
RN6400537	Rocket - Robot on Wheels (Europe) (En,Fr,De)
RN6400538	Rocket - Robot on Wheels (USA)
RN6400539	RR64 - Ridge Racer 64 (Europe)
RN6400540	RR64 - Ridge Racer 64 (USA)
RN6400541	RTL World League Soccer 2000 (Germany)
RN6400542	Rugrats - Die grosse Schatzsuche (Germany)
RN6400543	Rugrats - Scavenger Hunt (USA)
RN6400544	Rugrats - Treasure Hunt (Europe)
RN6400545	Rugrats in Paris - The Movie (Europe)
RN6400546	Rugrats in Paris - The Movie (USA)
